time;proto;src_ip;src_port;dst_ip;dst_port;flags;length
15:34:06.682191;IP;190-0-175-100.gba.solunet.com.ar;2519;184.107.43.74;80;S;120:
15:34:06.682210;IP;190-0-175-100.gba.solunet.com.ar;2520;184.107.43.74;80;S;120:
15:34:06.682227;IP;190-0-175-100.gba.solunet.com.ar;2521;184.107.43.74;80;S;120:
15:34:06.682243;IP;190-0-175-100.gba.solunet.com.ar;2522;184.107.43.74;80;S;120:
15:34:06.682259;IP;190-0-175-100.gba.solunet.com.ar;2523;184.107.43.74;80;S;120:
15:34:06.682276;IP;190-0-175-100.gba.solunet.com.ar;2524;184.107.43.74;80;S;120:
15:34:06.682292;IP;190-0-175-100.gba.solunet.com.ar;2525;184.107.43.74;80;S;120:
15:34:06.682308;IP;190-0-175-100.gba.solunet.com.ar;2526;184.107.43.74;80;S;120:
15:34:06.682325;IP;190-0-175-100.gba.solunet.com.ar;2527;184.107.43.74;80;S;120:
15:34:06.682341;IP;190-0-175-100.gba.solunet.com.ar;2528;184.107.43.74;80;S;120:
15:34:06.682357;IP;190-0-175-100.gba.solunet.com.ar;2529;184.107.43.74;80;S;120:
15:34:06.682374;IP;190-0-175-100.gba.solunet.com.ar;2530;184.107.43.74;80;S;120:
15:34:06.682390;IP;190-0-175-100.gba.solunet.com.ar;2531;184.107.43.74;80;S;120:
15:34:06.682407;IP;190-0-175-100.gba.solunet.com.ar;2532;184.107.43.74;80;S;120:
15:34:06.682423;IP;190-0-175-100.gba.solunet.com.ar;2533;184.107.43.74;80;S;120:
15:34:06.682439;IP;190-0-175-100.gba.solunet.com.ar;2534;184.107.43.74;80;S;120:
15:34:06.682455;IP;190-0-175-100.gba.solunet.com.ar;2535;184.107.43.74;80;S;120:
15:34:06.682472;IP;190-0-175-100.gba.solunet.com.ar;2536;184.107.43.74;80;S;120:
15:34:06.682488;IP;190-0-175-100.gba.solunet.com.ar;2537;184.107.43.74;80;S;120:
15:34:06.682504;IP;190-0-175-100.gba.solunet.com.ar;2538;184.107.43.74;80;S;120:
15:34:06.682521;IP;190-0-175-100.gba.solunet.com.ar;2539;184.107.43.74;80;S;120:
15:34:06.682537;IP;190-0-175-100.gba.solunet.com.ar;2540;184.107.43.74;80;S;120:
15:34:06.682553;IP;190-0-175-100.gba.solunet.com.ar;2541;184.107.43.74;80;S;120:
15:34:06.682570;IP;190-0-175-100.gba.solunet.com.ar;2542;184.107.43.74;80;S;120:
15:34:06.682586;IP;190-0-175-100.gba.solunet.com.ar;2543;184.107.43.74;80;S;120:
15:34:06.682602;IP;190-0-175-100.gba.solunet.com.ar;2544;184.107.43.74;80;S;120:
15:34:06.682619;IP;190-0-175-100.gba.solunet.com.ar;2545;184.107.43.74;80;S;120:
15:34:06.682635;IP;190-0-175-100.gba.solunet.com.ar;2546;184.107.43.74;80;S;120:
15:34:06.682652;IP;190-0-175-100.gba.solunet.com.ar;2547;184.107.43.74;80;S;120:
15:34:06.682668;IP;190-0-175-100.gba.solunet.com.ar;2548;184.107.43.74;80;S;120:
15:34:06.682684;IP;190-0-175-100.gba.solunet.com.ar;2549;184.107.43.74;80;S;120:
15:34:06.682700;IP;190-0-175-100.gba.solunet.com.ar;2550;184.107.43.74;80;S;120:
